NER_Text,Count,NER_Label
lBRAHIM,1,PER
kyo,1,ORG
khan academy,1,ORG
elon musk,1,MISC
ehole,1,MISC
edX,1,ORG
Zabrdast,1,ORG
american indian,1,MISC
alrwady,1,PER
akshay ji,1,PER
african,1,MISC
africa,1,LOC
Zenva,1,ORG
Zak zahid ab,1,PER
ZOzoro,1,PER
e cerrificate,1,MISC
Z,1,PER
Youtube,1,MISC
YouTube Google,1,ORG
Yo yo java,1,MISC
Ynice,1,ORG
Yas,1,ORG
Yahoo,1,ORG
ankit,1,PER
aowsam,1,ORG
apple II,1,MISC
arabic,1,MISC
dayanand vihar delhi,1,LOC
dani obeid,1,PER
cortana,1,PER
conio.h,1,MISC
commodore 64,1,MISC
"codechef,hackerrank",1,MISC
codecademy,1,MISC
code.,1,PER
charles babbage alan turning,1,PER
black friday,1,MISC
beigner,1,PER
bbfix 4th,1,MISC
balls,1,MISC
baby,1,MISC
asma begom,1,PER
nehru,1,MISC
nepal,1,LOC
netbeans,1,MISC
white hat jr,1,MISC
الله,1,PER
العربيه,1,MISC
البرو,1,MISC
İt,1,PER
Ģòoď,1,ORG
zendesk,1,ORG
windows,1,MISC
w3school,1,MISC
tk,1,ORG
visual basic . Net,1,MISC
vb . Net,1,MISC
uzbek,1,MISC
urdu,1,MISC
udacity,1,MISC
twiCe,1,MISC
treehouse,1,ORG
اکیه,1,ORG
رووعه,1,ORG
عربية؟,1,MISC
هووب,1,PER
🇵🇭,1,LOC
🇰🇭💖,1,LOC
🇪🇹👏👏👏👏,1,LOC
"𝕡𝕒𝕥𝕟𝕒,𝔹𝕚𝕙𝕒𝕣",1,LOC
𝕀𝕟𝕕𝕚𝕒,1,LOC
𝔹𝕚𝕡𝕚𝕟 𝔹𝕚𝕙𝕒𝕣𝕚,1,PER
Ｅｙｖｏｎｎｅ,1,PER
马克思,1,PER
デペロッパありがとうございます,1,PER
ℙ𝕐𝕋ℍ𝕆ℕ,1,MISC
ℍ𝕋𝕄𝕃,1,MISC
മച്ചാനെ,1,PER
সনতান,1,PER
বাংলাদেশ,1,LOC
नाइस,1,PER
tomegoogle,1,ORG
stl Library,1,MISC
nexino,1,ORG
osmyou,1,ORG
programminghub,1,ORG
programing Hub,1,MISC
pluralsight,1,ORG
persian,1,MISC
patel,1,PER
p-hub,1,ORG
owsum,1,PER
oracle,1,MISC
sql server,1,MISC
of Excellence,1,MISC
odin,1,MISC
objective-C,1,MISC
nyccc,1,ORG
nycc,1,LOC
nizamuddin,1,PER
nexus 5,1,MISC
pygame,1,MISC
python,1,MISC
python 2,1,MISC
redmi note,1,MISC
spartacus rex,1,MISC
sony m4,1,MISC
sony,1,MISC
somaiya,1,PER
social gamer gang,1,ORG
samsung s duos,1,MISC
samsung one UI 3,1,MISC
samsung galaxy fold 3,1,MISC
samsung,1,MISC
s.k.,1,LOC
ruby,1,MISC
romanian,1,MISC
riyaz,1,PER
rhey,1,PER
revise,1,MISC
Yaaa,1,MISC
Y2K,1,MISC
Seema,1,PER
TRE ANGLE,1,MISC
TechXity,1,ORG
Tanzania,1,LOC
Tamil,1,MISC
Tableau,1,MISC
Nioce,1,ORG
TUBE,1,PER
TSQL,1,MISC
THINK PYTHON,1,MISC
Termux,1,MISC
THE GLOBAL PENDMIC,1,MISC
TG,1,ORG
TECNO K7,1,MISC
T,1,MISC
Syria,1,LOC
Swiftui,1,MISC
Swiftkey,1,ORG
Tenali,1,ORG
Tesetop,1,ORG
Y j Grunberg,1,PER
The Programming hub Pro,1,MISC
Tikok,1,MISC
Thnx hub,1,ORG
Thmax,1,PER
Thks,1,MISC
ThiSs APpp,1,MISC
Theek,1,PER
TheNewBoston,1,PER
The Programming Hub,1,MISC
Tesla,1,ORG
The Godfather,1,MISC
