,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
61,714f811f-5f3c-4f7a-aad8-c02764f5b322,Roberto hernandez de la iglesia,https://play-lh.googleusercontent.com/a/AGNmyxbDW03MJUMLS4io0sq0KZxfUgP4stKYAGhooIC8=mo,Muy útil para mantenerse al día,5,0,1.14.0,2021-11-06 16:16:18,,,1.14.0,es
63,a8593fb2-87d9-4f90-a52a-7ce1f37b8305,daniel olivera,https://play-lh.googleusercontent.com/a-/ACB-R5T54jVVl4NqvP7M-pZc9O85ypOE6krz5wSiZ6AVYQ,debería tener español,3,0,1.14.0,2021-10-13 18:12:26,,,1.14.0,es
64,1d8ad18b-df65-4403-95db-68b31069a80c,Frandimu,https://play-lh.googleusercontent.com/a-/ACB-R5RE9gXl1ujeG2Twd0f7Ayc14gr4wp9RJhU8yI0IXw,"Es excelente, de verdad se aprende",5,0,1.14.0,2021-10-11 15:29:24,,,1.14.0,es
66,394bb722-81c0-469c-bfcd-0201fe749f12,Yunior Hendrix Calderon Rodríguez (Gyunito),https://play-lh.googleusercontent.com/a-/ACB-R5QXgyhhABsAP21KLI4JqpAdbyOnz-KPRgn3r7LJWBQ,"• Descubre una nueva forma de practicar la sintaxis de codificación. • Recuerda más con las flashcards diarias que puedes hojear rápidamente. • Revisar cuando, donde sea. Deja el escritorio. • Aprenda cómo aplicar sus habilidades en su día a día con el asesoramiento de los líderes de la industria. • Mantén las rayas y sigue tu progreso. ¿QUÉ PUEDO APRENDER? • Desarrollo web • Ciencia de los datos • Ciencias de la Computación • HTML y CSS • Python • JavaScript • SQL • Y más por venir ...",5,3,1.14.0,2021-10-05 08:46:50,,,1.14.0,es
68,58908fb8-c030-4ab5-be21-d043fa6e0db5,Abdallah Boucetouh,https://play-lh.googleusercontent.com/a/AGNmyxYZfgPpM_oQXAlyyFdkY9vp0TOCaYHcPTLjz0y_=mo,Elmejor apl,5,0,,2021-09-15 23:21:43,,,,es
69,25302091-6b27-4a22-a255-dd2d776237ef,Hernan Gustavo,https://play-lh.googleusercontent.com/a-/ACB-R5SuAJqrYSTN4rVDLA1IV0f_J4MwaMVEGsL922yzMA,Una de las mejores experiencias para empezar en la programacion. La versión pro es genial,5,2,1.14.0,2021-09-08 17:15:59,,,1.14.0,es
70,76288bcc-89f5-48ad-afde-b789bdf77852,Daniel BzG,https://play-lh.googleusercontent.com/a-/ACB-R5T1Y9HwmhS1TOYQa-A94Saf5lNuwiTD_j5NMDpU1w,"La única pega es que está en inglés, pero si quieres ser programador creo que es esencial dominar el idioma inglés",4,6,1.14.0,2021-09-04 23:25:50,,,1.14.0,es
73,4e5e83a5-2b63-4d62-8d99-3134a7a6ea5b,Fernando saldaña,https://play-lh.googleusercontent.com/a-/ACB-R5Setc6cV3x1WU33iIro1ssitK07gCXDtsgX-OaH1ZU,Excelente plataforma de aprendizaje,5,0,1.14.0,2021-08-19 07:04:12,,,1.14.0,es
74,c2e24088-e48e-4c29-9ce6-e763ffc42977,ArellanoB,https://play-lh.googleusercontent.com/a/AGNmyxaTLyQObWMZoFRNVKohAI_NDxhD0UdqpkmsSeO8TQ=mo,Bastante útil...,5,0,1.14.0,2021-08-15 05:50:29,,,1.14.0,es
76,d684b432-45c3-4216-b14e-25c15d5f8fd1,Otheb,https://play-lh.googleusercontent.com/a-/ACB-R5RwfpInJjc-iDUywc11NswxkkDSvqIlpkstWk6s,La aplicación es buena pero no se porque no avanza mi progreso como en la página web. Aquí siempre se queda en la primera lección.,3,0,1.14.0,2021-07-09 17:50:49,,,1.14.0,es
77,1e807992-ce49-4ee2-a639-146e23a556b7,Marco García,https://play-lh.googleusercontent.com/a/AGNmyxYJPG_KBiLWYpbKx8OtKzgUY1c_jJXbVFBuULy4=mo,La mejor plataforma para aprender.,5,0,1.14.0,2021-07-02 22:55:16,,,1.14.0,es
79,bb178c35-1743-4f7e-a1be-b356ac65a40e,Alberto G,https://play-lh.googleusercontent.com/a-/ACB-R5TafpzJqMR80sDa5C7ZwOH3QTDsVBW9voFFH-ezS1s,Al seleccionar respuestas deja los cuadros en negro (vacíos),1,0,1.14.0,2021-06-27 14:53:16,,,1.14.0,es
80,1932edb9-ed30-4f3d-b6af-cc881257e7c1,animator exe (Animator-exe),https://play-lh.googleusercontent.com/a-/ACB-R5Q_KwOyIUqjJZAKVXrnxUqB-vqh62_tN9UbbXJp,muy buena pero no explican algunas cosas claramente,4,0,1.14.0,2021-06-08 18:43:35,,,1.14.0,es
