reviewId,NER_Text,Start_Pos,End_Pos,NER_Label,Prob
1183,play store,75,85,MISC,0.9422467648983002
1183,honduras,101,109,LOC,0.9166285991668701
1191,okhand  okhand,80,94,MISC,0.9588610827922821
1196,5stars facewithmonocle  okhand,148,178,MISC,0.9749860962231954
1202,relievedface  catface,40,61,MISC,0.9992065131664276
1255,starstruck,26,36,MISC,0.7640833258628845
1313,okhandmediumskintone,28,48,MISC,0.7834269404411316
1353,pensiveface,52,63,MISC,0.7027806639671326
1396,duolingo,65,73,PER,0.7499561309814453
1596,duolingo,44,52,ORG,0.6114078760147095
1632,app store,224,233,MISC,0.5444267690181732
1710,unity,22,27,ORG,0.9992231130599976
1736,bootstrap sql,103,116,MISC,0.8684388697147369
1775,grinningfacewithbigeyes,43,66,MISC,0.995039165019989
1784,grinningcatwithsmilingeyes  redheart,164,200,MISC,0.9998513758182526
1788,duolingo,122,130,ORG,0.7955456972122192
1801,cuba,54,58,LOC,0.949488639831543
1858,star  star  star  star  star,61,89,MISC,0.9998864889144897
1863,cuba,178,182,LOC,0.6141914129257202
1872,htlm,27,31,MISC,0.7805980443954468
1875,pvta,6,10,ORG,0.7437376976013184
1884,phyton,39,45,MISC,0.5705549716949463
1909,play store,67,77,MISC,0.9972776174545288
1975,gabriel pérez najëra,0,20,PER,0.998779813448588
2058,starstruck  blueheart,148,169,MISC,0.9958171546459198
2105,victoryhandmediumlightskintone,35,65,MISC,0.9444454312324524
2106,c,162,163,MISC,0.8728238344192505
2164,unity 5,37,44,MISC,0.9997504353523254
2170,fortran pascal,185,199,MISC,0.9998517036437988
2175,perú,11,15,LOC,0.951607882976532
2246,java script,54,65,MISC,0.993942528963089
2278,grinningfacewithbigeyes,37,60,MISC,0.5539529919624329
2326,phyton,269,275,MISC,0.8729772567749023
2333,udemy,404,409,ORG,0.9813531637191772
2339,henry,55,60,PER,0.9770238995552063
2353,eden,312,316,ORG,0.9895039796829224
2368,mimo app,16,24,MISC,0.9993463456630707
2385,smilingfacewithsmilingeyes,32,58,MISC,0.9885627031326294
2385,smilingfacewithsmilingeyes,60,86,MISC,0.9837875366210938
2385,faceblowingakiss,88,104,MISC,0.9955512285232544
2419,okhandmediumdarkskintone  relievedface,58,96,MISC,0.7234293222427368
2455,duo lingo,14,23,MISC,0.9991178810596466
2476,uni,60,63,ORG,0.9913459420204163
2494,chévere,0,7,LOC,0.6799637079238892
2500,liga silvermimo,17,32,MISC,0.8269110918045044
2500,liga gold,54,63,MISC,0.8938871920108795
2504,universidad  starstruck,56,79,ORG,0.883931040763855
2586,grinningfacewithbigeyes,34,57,MISC,0.9992867112159729
2593,apk,39,42,MISC,0.7627769112586975
2600,hasta hora mimo,0,15,MISC,0.9999285538991293
2638,redheart,58,66,MISC,0.9151601791381836
2707,phytom sololearn,16,32,MISC,0.8011949956417084
2726,wavinghandmediumlightskintone,138,167,MISC,0.3624085485935211
2726,colombia,169,177,LOC,0.9773895144462585
2768,grasshooper,104,115,MISC,0.8927722573280334
2837,grinningfacewithbigeyes,43,66,MISC,0.983079195022583
2837,grinningfacewithbigeyes,68,91,MISC,0.9551394581794739
2884,duolingo,82,90,ORG,0.9114612340927124
2900,latam,29,34,LOC,0.8302660584449768
2927,duolingo,8,16,MISC,0.9613689184188843
2943,partyingface,44,56,MISC,0.5047155022621155
2975,duolingo,62,70,LOC,0.9668123126029968
3006,sparklingheart,1,15,MISC,0.9928727149963379
3011,okhand  okhand,25,39,MISC,0.9998999238014221
3036,smilingfacewithsmilingeyes,55,81,MISC,0.999639630317688
3153,cuba,120,124,LOC,0.9982876181602478
3165,chévere,0,7,LOC,0.6799637079238892
3200,vienna austria,84,98,MISC,0.9996110498905182
3200,vienna austria,122,136,MISC,0.9996880888938904
3215,beamingfacewithsmilingeyes,58,84,MISC,0.9980891346931458
3236,redheart,158,166,LOC,0.9533933997154236
3243,lorito verde,74,86,MISC,0.9395069479942322
3269,mysql,121,126,MISC,0.5628160834312439
3351,smilingfacewithsmilingeyes,12,38,MISC,0.9984329342842102
3433,udemy,197,202,ORG,0.9943938255310059
3438,la re sarpada,0,13,MISC,0.9972531199455261
3540,tuco quest,192,202,MISC,0.8740361928939819
3572,grinningfacewithbigeyes,16,39,MISC,0.9998480081558228
3572,grinningfacewithbigeyes,41,64,MISC,0.9998201727867126
3572,grinningfacewithbigeyes,66,89,MISC,0.9998363256454468
3732,javascript,141,151,MISC,0.9057154655456543
3732,mimo python,164,175,MISC,0.8745287358760834
3750,duolingo,13,21,MISC,0.9416571855545044
3773,mimo  star,359,369,MISC,0.9998685121536255
3796,kotlin,12,18,PER,0.9943512678146362
3819,smilingfacewithhearteyes,12,36,MISC,0.999554455280304
3867,venezuela,141,150,LOC,0.9948245286941528
3869,smilingfacewithhalo,11,30,MISC,0.9568066596984863
3869,smilingfacewithhalo,32,51,MISC,0.6931261420249939
3992,mexico,31,37,LOC,0.6365482807159424
4048,google play store,63,80,MISC,0.7145323554674784
4048,google play console,88,107,MISC,0.9965486526489258
4083,raisinghandsmediumlightskintone,52,83,MISC,0.999054491519928
4217,grasshoppee,125,136,MISC,0.6439128518104553
4220,okhand  okhand  okhand,19,41,MISC,0.9995658795038859
4304,python bro,110,120,MISC,0.9997129142284393
4324,bluestacks 5,89,101,MISC,0.9416504800319672
4340,failed,252,258,MISC,0.5640727877616882
4377,bery good thinkingface,0,22,MISC,0.9998400012652079
4379,relievedface,12,24,MISC,0.9841281771659851
4384,smilingfacewithsunglasses,105,130,MISC,0.9946553707122803
4385,blubble translator,407,425,MISC,0.9989307820796967
4483,kotlinetc,137,146,MISC,0.6371309757232666
4483,web,174,177,MISC,0.7325862050056458
4546,grasshopper,77,88,MISC,0.8830664157867432
4625,sublime text,281,293,MISC,0.99940624833107
4815,grasshoper,106,116,MISC,0.9533303380012512
4815,duolingo,200,208,ORG,0.9920111298561096
4844,css grid,95,103,MISC,0.9618820250034332
4855,república dominicana,209,229,LOC,0.9988639652729034
4855,dominicanrepublic,231,248,ORG,0.7419664263725281
4895,pensiveface,46,57,ORG,0.5315975546836853
4908,francisca van zeller,29,49,PER,0.9991968870162964
4915,okhand,62,68,MISC,0.9989812970161438
4921,buenardo,0,8,PER,0.5947396159172058
4930,messirve,22,30,PER,0.999765932559967
4991,duo lingo,0,9,MISC,0.688164472579956
5180,colombia,139,147,LOC,0.9711855053901672
5182,hello   mimo is fun  snapcat my favorite things,71,118,MISC,0.9998367130756378
5182,google lens,325,336,MISC,0.9309952557086945
5210,grasshoper,38,48,MISC,0.8340427875518799
5227,mexico,141,147,LOC,0.5614733099937439
5278,qué hueva,45,54,MISC,0.98122438788414
5342,facewithsteamfromnose,11,32,MISC,0.9443901777267456
5458,smilingfacewithhearteyes,12,36,MISC,0.9991793036460876
5458,beamingfacewithsmilingeyes,101,127,MISC,0.9961552023887634
5555,mimomimo,11,19,MISC,0.6939689517021179
5666,eye  mouth  eye,25,40,MISC,0.9749155839284261
5726,grasshopper,8,19,MISC,0.7742024064064026
5792,latam,81,86,LOC,0.7481938600540161
5798,wuao estoy aprendiendo,0,22,MISC,0.9999303817749023
5823,smilingfacewithsunglasses,12,37,MISC,0.6423788070678711
5852,duolingo,12,20,ORG,0.801275372505188
6011,duolingo,8,16,LOC,0.9679346084594727
6061,eye  mouth  eye  okhand,18,41,MISC,0.9999562799930573
6117,failed,84,90,MISC,0.8821296095848083
6166,key  alien,50,60,MISC,0.9998660087585449
6172,m1m0,187,191,MISC,0.817179262638092
6188,duolingo,72,80,ORG,0.9908945560455322
6418,smilingfacewithsmilingeyes,13,39,MISC,0.8297688364982605
6608,hay todo bien,40,53,MISC,0.9999157190322876
6631,duolingo,55,63,ORG,0.7610228657722473
6631,sololearn,113,122,MISC,0.8043025135993958
6631,sololearn,401,410,MISC,0.7188798785209656
6661,commandos,237,246,MISC,0.8355100154876709
6661,minecraf,250,258,MISC,0.964770495891571
6661,fidig wars,264,274,MISC,0.9998810887336731
6763,redheart,16,24,MISC,0.6413605809211731
6859,hello world,34,45,MISC,0.9999122619628906
6860,htmlcssjavascript,45,62,MISC,0.6419697999954224
6953,piero,56,61,MISC,0.6391693353652954
6979,duolingo,42,50,PER,0.5455535054206848
7017,msje hazte pro,314,328,MISC,0.9615235129992167
7056,chévere,0,7,LOC,0.6799637079238892
7062,duolingo,20,28,ORG,0.9894757270812988
7149,mimo sparkles,483,496,MISC,0.9842249155044556
7226,usa,39,42,LOC,0.7938690185546875
7238,facewithsteamfromnose,30,51,MISC,0.996967613697052
7304,okhand,9,15,PER,0.5043479204177856
7468,duolingo,125,133,MISC,0.6002488136291504
7504,buenardo,0,8,PER,0.5947396159172058
7579,duolingo,51,59,ORG,0.9992042183876038
7659,duolingo,96,104,MISC,0.7704828977584839
7690,smilingfacewithsunglasses,39,64,MISC,0.9750409722328186
7817,heartsuit,16,25,MISC,0.9322276711463928
7968,learn,5,10,MISC,0.9609322547912598
7968,play store,62,72,MISC,0.5905597656965256
8014,mimo pro,135,143,MISC,0.9638718366622925
8018,gente handshake,71,86,MISC,0.8127354681491852
8032,fire,495,499,MISC,0.7466477751731873
8142,duolingo,65,73,ORG,0.76222825050354
8258,phyton,28,34,MISC,0.8972194790840149
8307,memrise,60,67,MISC,0.8901804089546204
8397,duolingo,10,18,PER,0.9740358591079712
8441,wordpress,85,94,MISC,0.6896517276763916
8539,donal trump,22,33,PER,0.9999260306358337
8539,intagram,46,54,ORG,0.9932007193565369
8553,argentina,127,136,LOC,0.8788729906082153
8580,unity,78,83,ORG,0.9507445096969604
8580,unity,139,144,ORG,0.9239820837974548
8580,unity,241,246,ORG,0.5881823301315308
8636,pana banana,3,14,PER,0.9985985457897186
8712,smilingfacewithsunglasses  okhand,54,87,MISC,0.9844935238361359
8873,buenardo,0,8,PER,0.5947396159172058
8972,play estore,95,106,MISC,0.988080769777298
8993,buenardo,0,8,PER,0.5947396159172058
9024,duolingo,22,30,ORG,0.8437209129333496
9072,sololearn,220,229,MISC,0.9642285704612732
9167,screen translate,31,47,MISC,0.99952632188797
9224,game maker lenjuage,53,72,MISC,0.9766337076822916
9281,grabiel matamala,99,115,PER,0.9460351169109344
9311,grinningfacewithbigeyes,19,42,MISC,0.9367741346359253
9380,viena austria,286,299,MISC,0.9303953051567078
9434,sololearn,262,271,MISC,0.8091788291931152
9491,fire  fire  fire,53,69,MISC,0.990164319674174
9491,fire  fire,158,168,MISC,0.9191201627254486
9506,play,85,89,MISC,0.532054603099823
9528,victoryhandmediumdarkskintone,112,141,MISC,0.9147909879684448
9608,sta piola,0,9,MISC,0.9991202652454376
9632,css,69,72,MISC,0.5550947785377502
9852,mantippinghandlightskintone,80,107,MISC,0.8265388607978821
9857,desarro,52,59,LOC,0.7008473873138428
9890,acmarket,217,225,ORG,0.9495307803153992
9968,buenardo,0,8,PER,0.5947396159172058
9976,java script,198,209,MISC,0.8315951228141785
10103,buenardo,0,8,PER,0.5947396159172058
10107,play store,17,27,ORG,0.8134913444519043
10166,lua,74,77,MISC,0.5757853388786316
10236,edta,44,48,MISC,0.8812231421470642
10343,pensiveface,37,48,MISC,0.9442787766456604
10388,code playground,218,233,MISC,0.9894497692584991
10402,w3 schools,144,154,ORG,0.998141884803772
10402,khan academy,157,169,ORG,0.9961565434932709
10671,cuba,116,120,LOC,0.5290791988372803
10835,españa,7,13,LOC,0.6664701104164124
10857,duolingo,53,61,MISC,0.7542939186096191
10868,udemy,421,426,MISC,0.954317569732666
11071,duolingo,51,59,ORG,0.9977006316184998
11281,play stor,48,57,MISC,0.9845658242702484
11294,pensiveface,44,55,MISC,0.8604991436004639
11430,pvta,40,44,ORG,0.9961845278739929
11478,candy crush,20,31,MISC,0.9996000826358795
11546,ruby on rails estatia,264,285,MISC,0.9703951478004456
11590,sele,16,20,PER,0.9770511984825134
11637,sololearn,108,117,MISC,0.9589424729347229
11645,java,77,81,ORG,0.7920244932174683
11689,monobehaveour,11,24,MISC,0.8859735131263733
11728,mimo es la mamada,0,17,MISC,0.9999466836452484
11931,redheart,18,26,PER,0.9970678687095642
12032,12 tareas de hércules,257,278,MISC,0.9210681617259979
12082,mundo,72,77,MISC,0.5882545709609985
12196,nasa,23,27,ORG,0.9498942494392395
12213,sololearn,88,97,MISC,0.9388877153396606
12215,chile,7,12,LOC,0.9581303000450134
12362,hello world,42,53,MISC,0.9998857975006104
12517,smilingfacewithhearteyes,12,36,MISC,0.9998273253440857
12621,loudlycryingface,29,45,MISC,0.668339729309082
12738,hola mundo,178,188,MISC,0.9921211004257202
12739,phyton,24,30,MISC,0.8890524506568909
12739,phyton,339,345,MISC,0.9081194400787354
12739,amazon,349,355,ORG,0.8208310008049011
12786,co te ido,3,12,MISC,0.9998135169347128
12953,codecademy,166,176,MISC,0.5456534028053284
